building_id,meter,timestamp,primary_use,square_feet,year_built,air_temperature,cloud_coverage,dew_temperature,meter_reading
91,1,01-01-2016 00:00,Education,68094,2003,17.8,0,-0.6,52.4206
92,0,01-01-2016 00:00,Office,10779,1970,17.8,0,-1.7,0
93,0,01-01-2016 00:00,Office,33370,1982,17.8,0,-0.6,0
94,1,01-01-2016 00:00,Education,29469,1968,17.8,0,-1.1,0
95,0,01-01-2016 00:00,Lodging/residential,200933,2006,14.4,0,2.2,0
96,0,01-01-2016 00:00,Lodging/residential,200933,2006,13.3,0,3.9,0
97,0,01-01-2016 00:00,Lodging/residential,187647,2007,13.3,0,4.4,0
98,0,01-01-2016 00:00,Lodging/residential,200933,2007,12.2,0,6.1,0
99,1,01-01-2016 00:00,Office,2260,2016,11.1,2,6.7,0
100,0,01-01-2016 00:00,Lodging/residential,24456,1968,11.7,0,6.1,0
101,0,01-01-2016 00:00,Office,18860,1986,10.6,0,6.1,0
102,0,01-01-2016 00:00,Office,15876,1983,10,0,6.1,0
103,0,01-01-2016 00:00,Education,21657,2016,10.6,0,6.1,23.3036
104,0,01-01-2016 00:00,Office,45330,2003,10.6,0,6.7,0.3746
105,0,01-01-2016 00:00,Education,50623,,10,0,6.7,0
106,0,01-01-2016 00:00,Education,5374,,10.6,0,6.7,175.184
107,0,01-01-2016 00:00,Education,97532,2005,11.1,0,6.7,91.2653
108,0,01-01-2016 00:00,Education,81580,1913,11.7,2,7.8,80.93
109,1,01-01-2016 00:00,Education,56995,1953,12.2,4,7.8,0
110,0,01-01-2016 00:00,Education,27814,2006,13.9,2,7.8,86.2283
111,1,01-01-2016 00:00,Education,118338,1909,15.6,4,8.9,167.392
112,0,01-01-2016 00:00,Education,32206,,18.9,,9.4,10.2748
113,0,01-01-2016 00:00,Education,100481,1958,19.4,4,8.3,96.978
114,0,01-01-2016 00:00,Education,139683,1958,20,6,7.8,159.643
115,1,01-01-2016 00:00,Education,129716,1968,20,,5.6,19.597
116,0,01-01-2016 00:00,Education,37265,,18.9,,8.9,324.75
117,1,01-01-2016 00:00,Education,15489,2004,17.8,,7.8,100
118,0,01-01-2016 00:00,Education,138316,1960,17.2,,8.3,201.543
119,1,01-01-2016 00:00,Education,91149,2007,16.7,,8.9,69.3
120,0,01-01-2016 00:00,Education,68211,1976,16.1,8,9.4,16.3061
121,1,01-01-2016 00:00,Education,150318,1906,16.1,,9.4,19.6809
122,0,01-01-2016 00:00,Education,83043,1991,15.6,,10,117.2
123,0,01-01-2016 00:00,Education,61204,1989,15,,10.6,219.204
124,0,01-01-2016 00:00,Education,38319,1900,13.9,,10,200
125,0,01-01-2016 00:00,Education,16802,1995,13.9,,10,52.25
126,0,01-01-2016 00:00,Education,21539,2004,13.3,8,11.7,229
127,1,01-01-2016 00:00,Lodging/residential,27071,,13.3,,11.7,299.729
128,0,01-01-2016 00:00,Lodging/residential,102774,1956,13.9,,12.2,134.3
129,0,01-01-2016 00:00,Lodging/residential,102957,1968,13.9,,11.7,46.4
130,0,01-01-2016 00:00,Lodging/residential,62893,1960,13.3,,11.7,9.3
131,0,01-01-2016 00:00,Lodging/residential,66661,1930,13.9,,12.8,74.9
132,0,01-01-2016 00:00,Lodging/residential,83108,1995,14.4,8,13.3,46.8
133,0,01-01-2016 00:00,Lodging/residential,64723,1960,14.4,,13.3,8.6786
134,0,01-01-2016 00:00,Lodging/residential,49589,1998,12.8,,11.7,31.2
135,0,01-01-2016 00:00,Lodging/residential,66532,1967,13.9,,12.8,33.1
136,0,01-01-2016 00:00,Lodging/residential,56467,1960,15,,13.3,14.3
137,1,01-01-2016 00:00,Entertainment/public assembly,64024,1967,17.2,,14.4,82.5987
138,0,01-01-2016 00:00,Public services,118231,,19.4,6,15.6,17.6
139,0,01-01-2016 00:00,Public services,56629,1900,20,,15.6,17.7
140,1,01-01-2016 00:00,Office,50020,,21.1,,13.9,27.2
141,0,01-01-2016 00:00,Office,44789,1919,18.9,,15,26.9
142,0,01-01-2016 00:00,Office,45348,,17.2,,13.9,16.4553
143,0,01-01-2016 00:00,Office,40085,,16.1,,14.4,14.25
144,0,01-01-2016 00:00,Office,57673,,15.6,8,13.9,36.438
145,1,01-01-2016 00:00,Office,14219,,15.6,,13.3,0.2421
146,0,01-01-2016 00:00,Office,31614,1956,15,,13.3,12.6071
147,1,01-01-2016 00:00,Office,82548,1977,14.4,,13.3,0
148,0,01-01-2016 00:00,Office,174601,1960,14.4,,13.3,8.0204
149,1,01-01-2016 00:00,Office,81881,1960,14.4,,13.3,20.648
150,0,01-01-2016 00:00,Office,65657,1955,14.4,8,13.3,13.3776
151,0,01-01-2016 00:00,Office,30495,1997,14.4,,13.3,15.5
152,0,01-01-2016 00:00,Office,10301,1970,13.9,,13.3,28.0638
153,0,01-01-2016 00:00,Office,16092,1965,13.9,,13.3,9.7989
154,0,01-01-2016 00:00,Office,34455,1907,13.9,,13.3,9.435
155,0,01-01-2016 00:00,Office,51688,1930,14.4,,13.9,100
156,0,01-01-2016 00:00,Public services,43681,2007,14.4,8,13.9,6.2
157,0,01-01-2016 00:00,Office,5258,,14.4,,13.9,72.0612
158,0,01-01-2016 00:00,Office,10135,,15,,13.9,47.2
159,0,01-01-2016 00:00,Education,9788,,15,,13.9,53.102
160,0,01-01-2016 00:00,Entertainment/public assembly,15786,,17.2,,13.9,161.7
161,0,01-01-2016 00:00,Education,11329,,18.3,,14.4,18.8
162,0,01-01-2016 00:00,Education,98829,1968,19.4,6,15,4.594
163,1,01-01-2016 00:00,Education,72102,1970,21.1,4,15.6,7.1
164,0,01-01-2016 00:00,Warehouse/storage,12908,1979,22.8,,15.6,109.8
165,1,01-01-2016 00:00,Warehouse/storage,3877,1975,22.2,,15,57.75
166,0,01-01-2016 00:00,Lodging/residential,553210,2009,21.1,,15,114.71
167,1,01-01-2016 00:00,Lodging/residential,86323,1956,20.6,,14.4,28.1
168,0,01-01-2016 00:00,Education,183460,2005,19.4,8,15,19.49
169,1,01-01-2016 00:00,Education,179559,2006,17.8,,15.6,11.82
170,0,01-01-2016 00:00,Retail,45224,1982,16.7,,15,5.44
171,0,01-01-2016 00:00,Office,131797,1968,16.1,,15,7.4
172,0,01-01-2016 00:00,Office,121440,1983,15.6,,15,0
173,0,01-01-2016 00:00,Education,90903,,15.6,9,15,68.62
174,0,01-01-2016 00:00,Education,90900,,15.6,8,15,0
175,0,01-01-2016 00:00,Education,111635,1989,15.6,,15,77.61
176,0,01-01-2016 00:00,Education,62238,1970,15.6,,15.6,4.5719
177,0,01-01-2016 00:00,Entertainment/public assembly,167066,1989,15.6,,15,35.1685
178,0,01-01-2016 00:00,Office,23392,,15.6,,15.6,23.4
179,0,01-01-2016 00:00,Food sales and service,24867,2012,15.6,,15,10.56
180,0,01-01-2016 00:00,Education,24586,,15.6,8,15.6,296.72
181,0,01-01-2016 00:00,Education,148829,2014,16.1,,15.6,209.886
182,1,01-01-2016 00:00,Entertainment/public assembly,1022,,16.7,,16.1,120.159
183,0,01-01-2016 00:00,Education,132518,1992,17.2,,16.1,58.52
184,0,01-01-2016 00:00,Education,34171,,17.8,,16.1,0
185,0,01-01-2016 00:00,Education,84300,,17.8,,16.7,41.0299
186,0,01-01-2016 00:00,Religious worship,1629,1948,18.3,8,17.2,463.8
187,0,01-01-2016 00:00,Education,44203,1950,20,,17.8,51.557
188,0,01-01-2016 00:00,Office,23549,1941,20.6,,17.8,184.635
189,0,01-01-2016 00:00,Education,7481,1969,22.2,,18.3,468.71
190,1,01-01-2016 00:00,Education,137040,1957,21.7,,18.3,176.686
191,0,01-01-2016 00:00,Education,78268,1964,20.6,,17.8,296.002
192,0,01-01-2016 00:00,Education,151637,1983,19.4,6,17.8,41.88
193,0,01-01-2016 00:00,Office,6203,1999,18.3,,17.2,11.2891
194,0,01-01-2016 00:00,Office,155682,,17.2,2,16.1,33.11
195,0,01-01-2016 00:00,Office,9703,1940,16.7,4,15.6,0
196,1,01-01-2016 00:00,Entertainment/public assembly,40531,,16.1,,15,5.8614
197,0,01-01-2016 00:00,Public services,102856,,15,,14.4,111.08
198,0,01-01-2016 00:00,Office,163959,2004,15,8,14.4,0
199,0,01-01-2016 00:00,Parking,405083,2004,14.4,,13.9,171.04
200,0,01-01-2016 00:00,Entertainment/public assembly,143093,1964,14.4,,13.9,19.3427
201,0,01-01-2016 00:00,Education,219608,1992,15,,15,179.9
202,1,01-01-2016 00:00,Lodging/residential,74682,2006,15,,14.4,52.8583
203,0,01-01-2016 00:00,Lodging/residential,63348,2007,15,9,15,86.59
204,0,01-01-2016 00:00,Lodging/residential,30949,1951,15,9,15,116.337
205,0,01-01-2016 00:00,Lodging/residential,60086,2001,15.6,9,15,20.515
206,0,01-01-2016 00:00,Public services,345837,1966,15.6,9,15.6,25.41
207,0,01-01-2016 00:00,Public services,99700,,16.1,9,16.1,0
208,0,01-01-2016 00:00,Healthcare,36904,1934,16.7,,16.7,0
209,0,01-01-2016 00:00,Education,193294,2006,18.9,,17.2,205.64
210,0,01-01-2016 00:00,Education,71248,2004,20,8,17.2,130.686
211,0,01-01-2016 00:00,Education,48411,,21.7,,17.8,55.6835
212,0,01-01-2016 00:00,Education,327256,2012,21.1,,17.8,25.05
213,0,01-01-2016 00:00,Education,49662,1964,21.7,,17.8,5.8731
214,0,01-01-2016 00:00,Education,91273,1951,21.7,,17.8,39.37
215,0,01-01-2016 00:00,Lodging/residential,36406,1940,20.6,,17.8,0.0703
216,0,01-01-2016 00:00,Education,137065,1964,19.4,8,18.9,2.9307
217,0,01-01-2016 00:00,Education,282946,2003,19.4,,17.8,20.12
218,1,01-01-2016 00:00,Public services,16411,,19.4,,18.9,20.3274
219,0,01-01-2016 00:00,Education,96124,1959,18.9,,18.3,227.38
220,1,01-01-2016 00:00,Education,122592,1971,18.3,,17.8,12.5903
221,0,01-01-2016 00:00,Education,204349,1993,17.8,,17.2,1.31
222,0,01-01-2016 00:00,Entertainment/public assembly,11935,1939,18.3,6,17.8,146.99
223,1,01-01-2016 00:00,Education,261188,,19.4,,18.9,13.0827
224,0,01-01-2016 00:00,Education,272278,1955,19.4,,18.3,14.6536
225,0,01-01-2016 00:00,Lodging/residential,216526,1967,19.4,,18.9,20.55
226,0,01-01-2016 00:00,Office,74180,1930,19.4,,18.9,11.7228
227,0,01-01-2016 00:00,Entertainment/public assembly,17132,1918,20.6,,19.4,46.86
228,1,01-01-2016 00:00,Lodging/residential,49108,1951,20.6,8,20,3.52
229,0,01-01-2016 00:00,Education,140092,,20.6,,20,5.13
230,0,01-01-2016 00:00,Education,10334,,21.1,,18.9,0.6682
231,0,01-01-2016 00:00,Education,33739,1939,21.7,,17.8,0
232,0,01-01-2016 00:00,Entertainment/public assembly,24345,1981,21.1,,16.7,11.28
233,0,01-01-2016 00:00,Education,25139,1970,20,,15.6,6.1545
234,0,01-01-2016 00:00,Education,179167,1971,19.4,8,13.3,4.67
235,0,01-01-2016 00:00,Education,9309,1970,18.9,,12.2,0
236,0,01-01-2016 00:00,Entertainment/public assembly,144086,1989,17.8,,11.7,118.48
237,0,01-01-2016 00:00,Public services,101262,1982,18.3,,11.1,0
238,1,01-01-2016 00:00,Office,45017,,17.2,,10,64.4756
239,0,01-01-2016 00:00,Lodging/residential,106440,1963,15.6,,9.4,54.85
240,1,01-01-2016 00:00,Lodging/residential,111304,1964,14.4,4,9.4,82.8922
241,0,01-01-2016 00:00,Entertainment/public assembly,51999,1974,13.9,,8.9,49.8221
242,0,01-01-2016 00:00,Parking,157113,1987,13.3,,8.9,687.44
243,0,01-01-2016 00:00,Parking,557217,2004,12.8,,8.9,251.701
244,1,01-01-2016 00:00,Education,95717,,12.8,,8.9,67.4063
245,0,01-01-2016 00:00,Education,88486,,12.2,,8.3,3.39
246,1,01-01-2016 00:00,Office,202435,1967,11.7,6,6.7,242.13
247,0,01-01-2016 00:00,Education,64560,1965,11.1,,7.2,11.5353
248,1,01-01-2016 00:00,Education,24643,1982,10.6,,6.7,8.01
249,0,01-01-2016 00:00,Entertainment/public assembly,179449,1976,9.4,,3.3,24.1959
250,1,01-01-2016 00:00,Education,131710,1991,8.3,,3.3,8.7921
251,0,01-01-2016 00:00,Education,12773,,7.2,,3.9,70.93
252,0,01-01-2016 00:00,Education,4314,1907,6.7,6,3.3,96.53
253,0,01-01-2016 00:00,Education,65907,1964,6.7,4,3.3,16.8809
254,0,01-01-2016 00:00,Entertainment/public assembly,254766,1989,7.8,2,2.8,197.87
255,0,01-01-2016 00:00,Education,49078,1914,8.9,2,1.7,46.2466
256,1,01-01-2016 00:00,Education,16744,,10.6,2,2.8,102.45
257,0,01-01-2016 00:00,Education,75650,,11.7,2,1.7,63.09
258,0,01-01-2016 00:00,Education,71224,,12.8,2,1.1,49.8689
259,0,01-01-2016 00:00,Education,77469,,14.4,2,1.1,64.4756
260,0,01-01-2016 00:00,Education,126985,1979,15,2,1.1,493.4
261,0,01-01-2016 00:00,Education,89770,,15.6,0,1.7,267.14
262,0,01-01-2016 00:00,Entertainment/public assembly,20804,1999,15,0,1.7,99.6441
263,0,01-01-2016 00:00,Education,87673,1960,12.8,0,2.8,143.25
264,0,01-01-2016 00:00,Office,83660,1973,11.1,0,2.2,98.1905
265,0,01-01-2016 00:00,Office,118966,1988,10,0,5,61.5449
266,1,01-01-2016 00:00,Education,30543,,8.9,0,3.9,241.35
267,0,01-01-2016 00:00,Entertainment/public assembly,72193,2013,7.8,0,3.9,181.786
268,0,01-01-2016 00:00,Entertainment/public assembly,77844,,7.8,0,3.9,99.6441
269,1,01-01-2016 00:00,Entertainment/public assembly,809530,1958,6.1,0,3.3,24.22
270,0,01-01-2016 00:00,Office,29778,,5.6,2,3.3,42.0615
271,0,01-01-2016 00:00,Education,71421,,6.1,2,3.9,69.86
272,0,01-01-2016 00:00,Education,4583,,5,2,2.8,85.8815
273,0,01-01-2016 00:00,Office,140345,,5.6,4,2.8,161.74
274,1,01-01-2016 00:00,Office,42214,1985,5.6,4,2.8,169.02
275,0,01-01-2016 00:00,Office,70832,2014,6.1,,2.8,2.9307
276,1,01-01-2016 00:00,Office,70837,2014,6.1,4,2.2,82.32
277,0,01-01-2016 00:00,Education,12761,1909,6.1,4,2.2,20.2571
278,1,01-01-2016 00:00,Office,148101,,9.4,2,3.3,77.29
279,0,01-01-2016 00:00,Education,49384,1967,12.2,2,3.9,0.1055
280,0,01-01-2016 00:00,Entertainment/public assembly,105505,2008,14.4,4,1.7,893.28
281,0,01-01-2016 00:00,Food sales and service,28862,,16.7,4,-1.1,812.392
282,0,01-01-2016 00:00,Office,28750,,17.8,4,-2.2,363.408
283,0,01-01-2016 00:00,Entertainment/public assembly,51920,,18.9,4,-3.9,166.26
284,0,01-01-2016 00:00,Entertainment/public assembly,230259,1975,19.4,4,-3.3,25.9192
285,0,01-01-2016 00:00,Utility,21958,,18.3,,-4.4,55.6835
286,0,01-01-2016 00:00,Lodging/residential,32841,1935,16.7,,-4.4,195.21
287,0,01-01-2016 00:00,Office,33713,1956,15,,-2.8,851.28
288,0,01-01-2016 00:00,Entertainment/public assembly,10733,2005,13.3,4,-3.3,155.093
289,0,01-01-2016 00:00,Entertainment/public assembly,9666,2005,11.1,4,0,401.507
290,0,01-01-2016 00:00,Office,51732,1966,11.7,,1.1,175.12
291,0,01-01-2016 00:00,Public services,90635,2011,10.6,,1.1,29.8229
292,1,01-01-2016 00:00,Public services,33743,,10.6,,0.6,158.258
293,0,01-01-2016 00:00,Office,408000,2010,10,,1.1,196.9
294,1,01-01-2016 00:00,Entertainment/public assembly,14913,,8.9,8,2.2,0
295,0,01-01-2016 00:00,Education,83400,1942,8.3,,2.2,24.4
296,1,01-01-2016 00:00,Public services,22000,,9.4,,3.3,5.3456
297,0,01-01-2016 00:00,Education,66200,1950,9.4,,1.1,14.6536
298,1,01-01-2016 00:00,Entertainment/public assembly,39541,,8.9,,-0.6,80.35
299,0,01-01-2016 00:00,Education,356000,2014,8.9,,-1.1,17.9359
300,0,01-01-2016 00:00,Education,62800,2014,8.3,8,-0.6,20.515
301,0,01-01-2016 00:00,Public services,51176,,8.9,,0.6,199.99
302,0,01-01-2016 00:00,Education,57100,2015,10.6,,0.6,95.0253
303,0,01-01-2016 00:00,Entertainment/public assembly,15950,,13.9,,-0.6,20.515
304,0,01-01-2016 00:00,Entertainment/public assembly,194300,1900,15.6,,-1.1,42.11
305,0,01-01-2016 00:00,Office,8637,,15,,-1.1,146.85
306,0,01-01-2016 00:00,Education,51500,1931,15,8,0,277.128
307,0,01-01-2016 00:00,Public services,10873,,15.6,,0.6,243.02
308,0,01-01-2016 00:00,Public services,5033,,15.6,,1.1,197.436
309,0,01-01-2016 00:00,Entertainment/public assembly,2067,,15,,0.6,41.0299
310,0,01-01-2016 00:00,Public services,22000,,14.4,,1.1,389.98
311,1,01-01-2016 00:00,Education,50000,1928,12.8,,2.8,296.259
312,0,01-01-2016 00:00,Entertainment/public assembly,6625,,12.2,8,3.3,190.496
313,0,01-01-2016 00:00,Education,103800,,11.7,,3.3,14.41
314,0,01-01-2016 00:00,Education,225000,,11.1,,3.9,11.1132
315,0,01-01-2016 00:00,Entertainment/public assembly,20644,,10.6,,4.4,2027.52
316,0,01-01-2016 00:00,Public services,78550,,10.6,,5,360.98
317,0,01-01-2016 00:00,Office,16098,,10,,5,13.7861
318,0,01-01-2016 00:00,Office,105000,,8.9,8,5,120.159
319,1,01-01-2016 00:00,Public services,13100,1929,8.9,,5.6,74.58
320,0,01-01-2016 00:00,Education,105500,,8.3,,5,182.138
321,0,01-01-2016 00:00,Public services,15913,,8.3,,4.4,334.101
322,0,01-01-2016 00:00,Education,37083,1908,8.9,,4.4,29.45
323,0,01-01-2016 00:00,Education,282200,1928,8.9,,2.8,17.0567
324,0,01-01-2016 00:00,Entertainment/public assembly,11910,,8.9,8,1.7,8.7921
325,1,01-01-2016 00:00,Education,59200,1959,9.4,,2.2,5.58
326,0,01-01-2016 00:00,Entertainment/public assembly,45548,,11.7,,3.3,26.4
327,0,01-01-2016 00:00,Education,99325,1927,13.3,,5,0
328,0,01-01-2016 00:00,Education,47200,1935,15.6,,6.1,0
329,0,01-01-2016 00:00,Entertainment/public assembly,3133,,17.2,,7.2,209.67
330,0,01-01-2016 00:00,Education,65000,,20,4,8.9,117.99
331,1,01-01-2016 00:00,Education,288800,1923,21.1,,8.9,7.29
332,0,01-01-2016 00:00,Education,90400,,20.6,,9.4,70.51
333,0,01-01-2016 00:00,Education,59900,1962,20.6,,10.6,511.877
334,0,01-01-2016 00:00,Education,57100,1960,19.4,,11.1,68.55
335,0,01-01-2016 00:00,Office,229000,2010,18.3,,11.1,460.122
336,0,01-01-2016 00:00,Education,43000,1923,16.7,8,11.7,11.8
337,0,01-01-2016 00:00,Entertainment/public assembly,22334,1977,16.7,,11.7,0
338,0,01-01-2016 00:00,Entertainment/public assembly,23803,1969,17.2,,12.8,63.07
339,0,01-01-2016 00:00,Education,71100,,16.7,,13.3,68.8248
340,0,01-01-2016 00:00,Entertainment/public assembly,1843,,16.1,,13.3,17.5843
341,0,01-01-2016 00:00,Education,158000,1959,15.6,,13.9,11.77
342,0,01-01-2016 00:00,Lodging/residential,15420,,16.7,8,14.4,7.0337
343,0,01-01-2016 00:00,Public services,22000,,17.8,,15,43.29
344,0,01-01-2016 00:00,Education,77500,1942,17.8,,15,7.5261
345,0,01-01-2016 00:00,Lodging/residential,7250,,18.3,,15.6,17.5843
346,0,01-01-2016 00:00,Entertainment/public assembly,17709,,17.8,,16.1,46.29
347,1,01-01-2016 00:00,Education,75900,1974,17.8,,17.2,10.3044
348,0,01-01-2016 00:00,Public services,10577,1969,18.3,8,17.2,109.93
349,1,01-01-2016 00:00,Public services,45098,,17.8,,17.2,24.6179
350,0,01-01-2016 00:00,Education,83800,1944,18.3,,17.8,110.68
351,0,01-01-2016 00:00,Education,58908,1910,19.4,,18.3,15.861
352,1,01-01-2016 00:00,Education,144900,,20,,19.4,67.4063
353,0,01-01-2016 00:00,Education,99700,1955,17.8,,16.7,86.28
354,0,01-01-2016 00:00,Education,77500,,18.9,6,17.2,0
355,0,01-01-2016 00:00,Education,182500,1970,22.8,,16.1,38.0992
356,0,01-01-2016 00:00,Public services,4336,,23.9,4,13.9,48.35
357,1,01-01-2016 00:00,Lodging/residential,2000,,23.3,2,13.9,16.74
358,0,01-01-2016 00:00,Education,77700,,22.8,4,12.8,64.77
359,0,01-01-2016 00:00,Public services,4925,,20.6,,11.7,49.37
360,0,01-01-2016 00:00,Education,69600,1949,18.9,6,11.7,9.7417
361,0,01-01-2016 00:00,Public services,13224,1965,17.8,,12.2,0
362,0,01-01-2016 00:00,Public services,21368,,17.2,,12.8,64.54
363,0,01-01-2016 00:00,Education,69300,2017,16.7,4,13.3,0
364,0,01-01-2016 00:00,Education,83800,,15.6,2,13.3,302.5
365,0,01-01-2016 00:00,Healthcare,819577,1922,15,2,13.3,180.133
366,0,01-01-2016 00:00,Public services,9941,1963,12.8,2,12.2,149.466
